date,open,high,low,close,volume
2017-01-24T05:35:00.000Z,913.5,914.0,914.0,914.0,45
2017-01-24T05:40:00.000Z,914.0,913.99,913.27,913.27,1515
2017-01-24T05:45:00.000Z,913.27,912.52,912.51,912.51,5000
2017-01-24T05:50:00.000Z,912.51,912.62,912.62,912.62,907
2017-01-24T05:55:00.000Z,912.62,912.51,911.49,911.52,22793
2017-01-24T06:00:00.000Z,911.52,911.44,910.0,910.1,6266
2017-01-24T06:05:00.000Z,910.1,911.77,911.77,911.77,1000
2017-01-24T06:10:00.000Z,911.77,912.22,912.21,912.22,450
2017-01-24T06:15:00.000Z,912.22,912.22,912.21,912.22,1000
2017-01-24T06:20:00.000Z,912.22,912.1,912.1,912.1,45
2017-01-24T06:25:00.000Z,912.1,912.13,912.03,912.13,6105
2017-01-24T06:30:00.000Z,912.13,912.06,911.75,912.06,17092
2017-01-24T06:35:00.000Z,912.06,913.54,912.06,913.54,16424
2017-01-24T06:40:00.000Z,913.54,913.0,911.83,912.52,8515
2017-01-24T06:45:00.000Z,912.52,912.52,912.52,912.52,0
2017-01-24T06:50:00.000Z,912.52,913.0,913.0,913.0,100
2017-01-24T06:55:00.000Z,913.0,911.75,911.75,911.75,1823
2017-01-24T07:00:00.000Z,911.75,911.99,911.9,911.9,10000
2017-01-24T07:05:00.000Z,911.9,913.0,912.0,913.0,22600
2017-01-24T07:10:00.000Z,913.0,912.12,911.33,911.33,26000
2017-01-24T07:15:00.000Z,911.33,911.42,910.34,911.4,25600
2017-01-24T07:20:00.000Z,911.4,911.36,911.35,911.35,501
2017-01-24T07:25:00.000Z,911.35,912.0,911.37,912.0,3340
2017-01-24T07:30:00.000Z,912.0,912.0,912.0,912.0,0
2017-01-24T07:35:00.000Z,912.0,912.68,911.94,911.94,10001
2017-01-24T07:40:00.000Z,911.94,911.94,911.94,911.94,0
2017-01-24T07:45:00.000Z,911.94,911.98,910.96,911.98,360
2017-01-24T07:50:00.000Z,911.98,914.99,912.04,914.98,96020
2017-01-24T07:55:00.000Z,914.98,913.58,913.04,913.04,3246
2017-01-24T08:00:00.000Z,913.04,914.93,913.03,913.03,21026
2017-01-24T08:05:00.000Z,913.03,914.95,914.19,914.95,11219
2017-01-24T08:10:00.000Z,914.95,915.4,915.38,915.4,3283
2017-01-24T08:15:00.000Z,915.4,915.14,914.81,915.14,4483
2017-01-24T08:20:00.000Z,915.14,915.9,914.35,914.35,8120
2017-01-24T08:25:00.000Z,914.35,915.01,913.04,913.13,13797
2017-01-24T08:30:00.000Z,913.13,913.13,910.34,912.56,104290
2017-01-24T08:35:00.000Z,912.56,912.31,911.22,911.22,5707
2017-01-24T08:40:00.000Z,911.22,911.22,911.01,911.01,14000
2017-01-24T08:45:00.000Z,911.01,911.96,911.44,911.96,12715
2017-01-24T08:50:00.000Z,911.96,911.96,911.96,911.96,0
2017-01-24T08:55:00.000Z,911.96,912.07,912.06,912.07,11200
2017-01-24T09:00:00.000Z,912.07,912.07,912.07,912.07,0
2017-01-24T09:05:00.000Z,912.07,913.71,913.4,913.4,1070
2017-01-24T09:10:00.000Z,913.4,914.02,913.59,914.02,7502
2017-01-24T09:15:00.000Z,914.02,914.02,914.02,914.02,0
2017-01-24T09:20:00.000Z,914.02,916.35,914.86,916.0,14444
2017-01-24T09:25:00.000Z,916.0,915.2,914.0,914.0,9876
2017-01-24T09:30:00.000Z,914.0,914.77,912.13,913.94,2901
2017-01-24T09:35:00.000Z,913.94,912.9,912.66,912.66,6462
2017-01-24T09:40:00.000Z,912.66,913.29,912.81,912.95,2374
2017-01-24T09:45:00.000Z,912.95,913.15,913.15,913.15,50
2017-01-24T09:50:00.000Z,913.15,913.5,912.66,912.71,18270
2017-01-24T09:55:00.000Z,912.71,913.46,913.46,913.46,1
2017-01-24T10:00:00.000Z,913.46,912.04,912.0,912.01,8901
2017-01-24T10:05:00.000Z,912.01,913.52,913.26,913.52,10118
2017-01-24T10:10:00.000Z,913.52,913.32,913.31,913.32,47
2017-01-24T10:15:00.000Z,913.32,912.97,912.02,912.02,4329
2017-01-24T10:20:00.000Z,912.02,912.01,909.9,911.42,157887
2017-01-24T10:25:00.000Z,911.42,910.93,910.92,910.93,1200
2017-01-24T10:30:00.000Z,910.93,911.03,910.61,911.03,415
2017-01-24T10:35:00.000Z,911.03,911.95,910.99,911.95,3463
2017-01-24T10:40:00.000Z,911.95,912.1,912.05,912.05,1030
2017-01-24T10:45:00.000Z,912.05,911.31,905.95,906.3,223292
2017-01-24T10:50:00.000Z,906.3,906.3,887.12,891.97,548853
2017-01-24T10:55:00.000Z,891.97,893.89,887.87,893.89,292025
2017-01-24T11:00:00.000Z,893.89,894.44,892.99,893.0,48927
2017-01-24T11:05:00.000Z,893.0,897.02,893.0,894.82,46558
2017-01-24T11:10:00.000Z,894.82,895.99,894.34,895.12,34257
2017-01-24T11:15:00.000Z,895.12,895.32,893.82,895.32,83902
2017-01-24T11:20:00.000Z,895.32,898.64,895.32,898.34,104882
2017-01-24T11:25:00.000Z,898.34,898.65,894.97,894.97,94369
2017-01-24T11:30:00.000Z,894.97,895.07,891.35,893.12,134933
2017-01-24T11:35:00.000Z,893.12,899.56,892.46,899.56,175710
2017-01-24T11:40:00.000Z,899.56,904.04,898.04,904.04,85931
2017-01-24T11:45:00.000Z,904.04,903.98,900.56,903.0,119454
2017-01-24T11:50:00.000Z,903.0,903.59,902.91,902.91,19759
2017-01-24T11:55:00.000Z,902.91,905.99,903.82,905.89,70203
2017-01-24T12:00:00.000Z,905.89,905.89,903.0,903.0,43965
2017-01-24T12:05:00.000Z,903.0,904.9,903.07,904.88,10582
2017-01-24T12:10:00.000Z,904.88,904.9,904.9,904.9,5123
2017-01-24T12:15:00.000Z,904.9,905.89,903.7,904.4,83948
2017-01-24T12:20:00.000Z,904.4,906.0,904.38,904.74,81413
2017-01-24T12:25:00.000Z,904.74,908.97,904.7,906.05,144000
2017-01-24T12:30:00.000Z,906.05,906.25,900.94,900.94,103400
2017-01-24T12:35:00.000Z,900.94,902.22,900.99,901.31,16980
2017-01-24T12:40:00.000Z,901.31,901.31,900.0,900.0,36427
2017-01-24T12:45:00.000Z,900.0,901.39,900.0,901.12,63571
2017-01-24T12:50:00.000Z,901.12,901.13,900.9,900.9,21152
2017-01-24T12:55:00.000Z,900.9,900.89,900.3,900.3,105
2017-01-24T13:00:00.000Z,900.3,901.18,899.53,901.18,8980
2017-01-24T13:05:00.000Z,901.18,902.3,902.0,902.3,17000
2017-01-24T13:10:00.000Z,902.3,901.99,901.19,901.99,17900
2017-01-24T13:15:00.000Z,901.99,903.3,901.82,903.16,20545
2017-01-24T13:20:00.000Z,903.16,903.52,903.16,903.16,1620
2017-01-24T13:25:00.000Z,903.16,902.92,900.16,900.16,64560
2017-01-24T13:30:00.000Z,900.16,900.1,899.85,900.1,8090
2017-01-24T13:35:00.000Z,900.1,900.88,900.15,900.88,755
2017-01-24T13:40:00.000Z,900.88,901.7,900.1,901.57,42571
2017-01-24T13:45:00.000Z,901.57,901.66,899.18,899.18,12844
2017-01-24T13:50:00.000Z,899.18,899.19,898.99,899.0,4327
2017-01-24T13:55:00.000Z,899.0,899.39,897.63,897.63,10615
2017-01-24T14:00:00.000Z,897.63,898.16,896.49,897.6,74118
2017-01-24T14:05:00.000Z,897.6,898.69,896.44,898.29,31108
2017-01-24T14:10:00.000Z,898.29,898.56,897.81,898.55,4242
2017-01-24T14:15:00.000Z,898.55,898.55,895.73,895.94,67046
2017-01-24T14:20:00.000Z,895.94,897.49,895.83,897.49,28936
2017-01-24T14:25:00.000Z,897.49,897.0,896.13,896.13,735
2017-01-24T14:30:00.000Z,896.13,898.22,896.8,898.22,9100
2017-01-24T14:35:00.000Z,898.22,898.2,897.13,897.87,7000
2017-01-24T14:40:00.000Z,897.87,898.47,896.77,897.32,34020
2017-01-24T14:45:00.000Z,897.32,898.2,898.0,898.0,14400
2017-01-24T14:50:00.000Z,898.0,898.2,898.2,898.2,5602
2017-01-24T14:55:00.000Z,898.2,899.43,898.45,899.43,10670
2017-01-24T15:00:00.000Z,899.43,899.99,898.49,898.49,11830
2017-01-24T15:05:00.000Z,898.49,899.85,899.04,899.83,2677
2017-01-24T15:10:00.000Z,899.83,899.67,899.07,899.5,29623
2017-01-24T15:15:00.000Z,899.5,899.59,899.07,899.49,59200
2017-01-24T15:20:00.000Z,899.49,899.49,899.0,899.11,26051
2017-01-24T15:25:00.000Z,899.11,899.12,898.0,898.67,39198
2017-01-24T15:30:00.000Z,898.67,898.53,898.52,898.52,25000
2017-01-24T15:35:00.000Z,898.52,899.72,899.0,899.3,3473
2017-01-24T15:40:00.000Z,899.3,899.87,898.82,898.82,53856
2017-01-24T15:45:00.000Z,898.82,901.27,899.24,899.24,27681
2017-01-24T15:50:00.000Z,899.24,900.02,900.01,900.02,3450
2017-01-24T15:55:00.000Z,900.02,900.5,900.1,900.5,700
2017-01-24T16:00:00.000Z,900.5,903.3,900.52,902.0,102772
2017-01-24T16:05:00.000Z,902.0,905.28,901.03,904.09,172804
2017-01-24T16:10:00.000Z,904.09,905.01,904.0,904.65,80863
2017-01-24T16:15:00.000Z,904.65,908.0,905.17,906.48,209425
2017-01-24T16:20:00.000Z,906.48,907.5,906.49,907.5,50699
2017-01-24T16:25:00.000Z,907.5,907.32,905.99,906.03,31983
2017-01-24T16:30:00.000Z,906.03,907.31,905.92,907.31,2781
2017-01-24T16:35:00.000Z,907.31,907.11,906.49,906.49,12715
2017-01-24T16:40:00.000Z,906.49,908.0,906.49,907.08,42336
2017-01-24T16:45:00.000Z,907.08,907.9,905.22,905.22,26773
2017-01-24T16:50:00.000Z,905.22,905.9,904.99,905.89,43235
2017-01-24T16:55:00.000Z,905.89,905.58,905.48,905.5,10275
2017-01-24T17:00:00.000Z,905.5,907.6,905.62,905.62,21295
2017-01-24T17:05:00.000Z,905.62,906.85,906.47,906.47,730
2017-01-24T17:10:00.000Z,906.47,906.47,906.47,906.47,0
2017-01-24T17:15:00.000Z,906.47,907.55,906.22,907.55,21006
2017-01-24T17:20:00.000Z,907.55,907.42,906.72,907.42,1620
2017-01-24T17:25:00.000Z,907.42,907.2,905.75,905.99,122939
2017-01-24T17:30:00.000Z,905.99,905.79,905.65,905.66,34275
2017-01-24T17:35:00.000Z,905.66,908.26,905.45,907.26,126923
2017-01-24T17:40:00.000Z,907.26,907.36,907.36,907.36,500
2017-01-24T17:45:00.000Z,907.36,907.4,906.63,906.63,5051
